gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1899361251,d9522343-146c-4d6b-b312-543d4d8ca0e8,992797a0-3a9a-41ac-97f5-87a10f4be191,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,8 mi NW of Harrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361219,d9522343-146c-4d6b-b312-543d4d8ca0e8,12244045-2af5-4158-a4b5-dfd25b38f7a3,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,borealis,VARIETY,Quercus rubra var. borealis (F.Michx.) Farw.,Quercus rubra var. borealis (F. Michaux) Farwell,L.,CA,Muldrew Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361203,d9522343-146c-4d6b-b312-543d4d8ca0e8,3e76d6f4-9fd6-48a6-ba78-dfabd04db2fd,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,maxima,VARIETY,Quercus rubra var. maxima Marshall,Quercus rubra var. maxima Marshall,(Marsh.) Ashe,CA,Louth Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361198,d9522343-146c-4d6b-b312-543d4d8ca0e8,51bb9c24-a79c-4d64-9058-cc8c904dbdcc,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361193,d9522343-146c-4d6b-b312-543d4d8ca0e8,d8d32f90-ce2f-40d4-9cbf-935ac3d684fe,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,borealis,VARIETY,Quercus rubra var. borealis (F.Michx.) Farw.,Quercus rubra var. borealis (F. Michaux) Farwell,(Michx.) Farw.,CA,0.5 mi N of Oliphant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361189,d9522343-146c-4d6b-b312-543d4d8ca0e8,b7c11a2b-c7e3-43e8-a074-3df6b6f72c56,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Sherbrooke Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361176,d9522343-146c-4d6b-b312-543d4d8ca0e8,851fb82b-eace-44c5-a62c-640819ba35b8,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899361139,d9522343-146c-4d6b-b312-543d4d8ca0e8,4cc8784e-a720-4864-b1a0-58c55dc8c1f7,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Keppel Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899359778,d9522343-146c-4d6b-b312-543d4d8ca0e8,ee1a5d29-670d-4bb8-8966-55f6db214aa3,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,3 mi E of Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899359021,d9522343-146c-4d6b-b312-543d4d8ca0e8,4f474642-59a6-4b00-bef2-85d6497941cf,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Dudley Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899358998,d9522343-146c-4d6b-b312-543d4d8ca0e8,98db8b8f-82b4-4670-a1f7-49716a924ed9,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Minden Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899358990,d9522343-146c-4d6b-b312-543d4d8ca0e8,18e419ae-e044-4672-9b77-f9ba13dcc135,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Minden Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899358987,d9522343-146c-4d6b-b312-543d4d8ca0e8,0458a7f0-6c8f-498f-8f6f-73b42f8c9677,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Stanhope Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899358980,d9522343-146c-4d6b-b312-543d4d8ca0e8,8cd82259-ab5e-4782-98d9-b3dbff0af57b,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Minden Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899357342,d9522343-146c-4d6b-b312-543d4d8ca0e8,1fe2b86b-f05a-4b83-819f-2b31b5b87f14,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,8 mi NW of Brightside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899357327,d9522343-146c-4d6b-b312-543d4d8ca0e8,9cf905d3-4894-4419-9f2a-6e3f0b99d98f,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Palmerston Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899357310,d9522343-146c-4d6b-b312-543d4d8ca0e8,88814cfe-3be1-43f3-866f-a93e8298c4c3,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,6 mi N of Hwy 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899357307,d9522343-146c-4d6b-b312-543d4d8ca0e8,126290dd-5733-4955-a94e-1c57856fdbe3,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Cashel Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899357254,d9522343-146c-4d6b-b312-543d4d8ca0e8,8c68beed-85e8-47a5-a398-bf11157a6b7a,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,SW corner of North Pickering Community Site,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.905594,-79.192387,7750,,,,,,1973-07-18T00:00:00,18,7,1973,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034916,,,,,,,,,,,
1899355559,d9522343-146c-4d6b-b312-543d4d8ca0e8,5737180d-e093-4e96-8b93-d0606441872f,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Toronto,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.732195,-79.368602,22000,,,,,,1894-05-18T00:00:00,18,5,1894,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034253,,,,,,,,,,,
