id,paper_id,primers,longitude,latitude,continent,sample_type,ITS1_extracted,ITS2_extracted,ITS_total,Biome,MAT,MAP,pH,year_of_sampling,manipulated,abundances
14447,Odriozola_2021_QY,gITS7/ITS4,13.7132,48.8979,Europe,root,0,30032,30032,forest,6.4,857,4.28,2016,FALSE,138
14483,Oja_2017_AD29,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,22.4477,58.3537,Europe,soil,2462,2261,4723,grassland,6.8,590,NA_,2012,FALSE,1
14499,Fernandez_2017_498D,ITS1F/ITS2,-92.52,46.6794,North America,root,43074,0,43074,forest,5.2,783,NA_,2014,FALSE,118
14546,Fernandez_2017_498D,ITS1F/ITS2,-92.52,46.6794,North America,root,39426,0,39426,forest,5.2,783,NA_,2014,FALSE,75
14549,Polackova_2016_KRTINY,gITS7/ITS4,16.715,49.297,Europe,litter,0,42539,42539,forest,8.4,615,5.53,2013,FALSE,6
14559,Bissett_AAAA_2016,ITS1F/ITS4,148.3,-42.0585,Australia,soil,47413,2338,49751,forest,13.3,664,7.5,2013,FALSE,1
14565,Fernandez_2017_498D,ITS1F/ITS2,-91.7581,47.9461,North America,root,62162,0,62162,forest,3.5,688,NA_,2014,FALSE,1071
14569,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0516,North America,soil,22669,0,22669,tundra,-3.7,757,3.99,2015,FALSE,3
14578,Merges_2018_DD53,ITS3_KYO2/ITS4_KYO3,9.85577,46.7354,Europe,soil,0,23777,23777,forest,0.8,1044,4.1,2015,FALSE,56
14582,UOBC_2016_5CA6,ITS3/ITS4,-122.61,54.35,North America,soil,0,6916,6916,forest,4,703,4.78,2008,FALSE,27
14606,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,54591,54591,forest,1.6,512,4.98,2017,FALSE,35
14612,Bissett_AAAA_2016,ITS1F/ITS4,116.224,-32.5723,Australia,soil,100376,13710,114086,forest,16.5,976,6.3,2016,FALSE,1
14624,Yang_2020_addH,ITS3/ITS4,121.497,50.9423,Asia,soil,0,36875,36875,forest,-3,462,5.78,2017,FALSE,1
14659,Siles_2017_6F2C,ITS1F/ITS2,11.4347,46.5878,Europe,soil,126403,0,126403,forest,3,987,3.34,2015,FALSE,6
14697,Woo_2018_BY,ITS1F/ITS2,126.955,37.4653,Asia,air,52847,0,52847,anthropogenic,12,1383,NA_,2015,FALSE,3
14716,ArraianoCastilho_2020_BA,fITS7/ITS4,8.37344,46.5685,Europe,soil,1,93460,93461,woodland,2.3,1544,NA_,2017,FALSE,140
14726,Yang_2020_addH,ITS3/ITS4,122.433,50.9888,Asia,soil,0,31598,31598,forest,-3.2,477,4.35,2017,FALSE,2
14788,Baldrian_2016_DE02,gITS7/ITS4,14.7048,48.6645,Europe,deadwood,0,5677,5677,forest,6.6,784,3.65,2013,FALSE,1
14806,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0515,North America,soil,49174,0,49174,tundra,-3.7,757,4.67,2015,FALSE,25
14821,UOBC_2016_5CA6,ITS3/ITS4,-120.78,39.26,North America,soil,0,12174,12174,forest,10.8,1613,3.6,2011,FALSE,2
14826,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,11868,11868,forest,1.6,512,4.825,2017,FALSE,1
14830,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,50417,50417,forest,1.6,512,4.825,2017,FALSE,24
14831,Odriozola_2020_GA,gITS7/ITS4,16.7881,49.3186,Europe,rhizosphere soil,0,14320,14320,forest,7.8,618,5.62,2014,FALSE,180
14842,Ji_2022_TY,ITS3/ITS4,122.084,51.7947,Asia,soil,0,57317,57317,forest,-3.3,436,4.55,2021,FALSE,1
14874,Kamutando_2017_6F2C,ITS1F/ITS4,29.8144,-30.5611,Africa,rhizosphere soil,49495,0,49495,grassland,16,891,4.1,2015,FALSE,207
14875,Kamutando_2017_6F2C,ITS1F/ITS4,29.8144,-30.5611,Africa,rhizosphere soil,40458,0,40458,grassland,16,891,3.9,2015,FALSE,3
14929,UOBC_2016_5CA6,ITS3/ITS4,-122.61,54.35,North America,soil,0,17313,17313,forest,4,703,4.69,2008,FALSE,98
14941,Yang_2019_D4B1,ITS1F/ITS2,128.352,42.3777,Asia,soil,34370,0,34370,forest,4,740,6.62,2016,FALSE,1
14943,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.952,58.6586,Europe,soil,5085,4877,9962,forest,5.4,621,NA_,2013,FALSE,6
14950,UOBC_2016_5CA6,ITS3/ITS4,-82.25,46.75,North America,soil,0,12400,12400,forest,3.1,964,5.07,2011,FALSE,30
14963,Porazinska_2018_2471,ITS1F/ITS2,-105.638,40.0523,North America,soil,3587,0,3587,tundra,-3.3,735,5.1,2015,FALSE,2
14994,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,36490,36490,forest,1.6,512,4.98,2017,FALSE,7
15012,UOBC_2016_5CA6,ITS3/ITS4,-89.41,49.07,North America,soil,0,3988,3988,forest,1.9,724,5.2,2011,FALSE,1
15016,MerinoMartin_2021_4085,fITS7/ITS4,-1.32,51.77,Europe,rhizosphere soil,0,10651,10651,forest,9.9,707,6.6,2014,FALSE,1
15024,Odriozola_2020_GA,gITS7/ITS4,16.7456,49.2878,Europe,rhizosphere soil,0,12983,12983,forest,8.2,581,5.61,2014,FALSE,2
15038,UOBC_2016_5CA6,ITS3/ITS4,-95.15,31.11,North America,soil,0,24337,24337,forest,19.6,1208,4.4,2012,FALSE,1
15039,UOBC_2016_5CA6,ITS3/ITS4,-95.15,31.11,North America,soil,0,19071,19071,forest,19.6,1208,4.5,2012,FALSE,1
15052,Rajala_2015_1113,ITS1F/ITS2,25.19,60.46,Europe,deadwood,3367,0,3367,forest,5.1,670,NA_,2008,FALSE,69
15151,Bissett_AAAA_2016,ITS1F/ITS4,148.785,-35.4463,Australia,soil,46893,5578,52471,forest,9.7,1112,5.7,2013,FALSE,6
15155,Odriozola_2020_GA,gITS7/ITS4,16.7581,49.332,Europe,soil,0,14999,14999,forest,7.7,639,4.77,2014,FALSE,343
15168,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,51272,51272,forest,1.6,512,4.825,2017,FALSE,102
15203,Franzetti_2020_GF,ITS1F/ITS2,10.5848,46.4044,Europe,soil,164486,0,164486,tundra,-1.5,960,6.54,2015,FALSE,312
15214,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,62727,62727,forest,1.6,512,4.98,2017,FALSE,11
15217,Mikryukov_2021_SP,fITS7/ITS4,59.827,56.85,Asia,deadwood,0,79941,79941,forest,1.7,519,4.435,2017,FALSE,613
15227,Shigyo_2021_TF,fITS7/ITS4,138.798,35.9595,Asia,soil,0,27238,27238,forest,6.6,1490,NA_,2014,FALSE,1
15229,Sun_2021_PK,gITS7ngs/ITS4ngsUni,100.167,27.167,Asia,topsoil,0,41749,41749,forest,0.8,1063,NA_,2015,FALSE,3
15237,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,13.7625,49.858,Europe,soil,2291,1927,4218,forest,7.8,528,NA_,2017,FALSE,2
15239,Yang_2020_addH,ITS3/ITS4,121.794,51.0133,Asia,soil,0,37705,37705,forest,-2.7,436,4.51,2017,FALSE,12
15242,Tedersoo_2016_ISME,ITS3/ITS4,27.3064,58.2635,Europe,soil,0,5230,5230,forest,5.8,635,4.03,2011,FALSE,1
15248,Tedersoo_2016_ISME,ITS3/ITS4,21.7,61.8,Europe,soil,0,5408,5408,forest,4.8,635,4.12,2011,FALSE,49
15308,George_2019_9BEA,ITS5/5.8S_fungi,-3.82956,52.179,Europe,soil,51011,0,51011,shrubland,8,1661,3.57,2013 to 2014,FALSE,6
15333,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,55189,55189,forest,1.6,512,4.98,2017,FALSE,34
15402,Tedersoo_2016_ISME,ITS3/ITS4,21.7,61.7,Europe,soil,0,6432,6432,forest,4.8,638,3.33,2011,FALSE,45
15527,Kamutando_2017_6F2C,ITS1F/ITS4,29.8144,-30.5611,Africa,rhizosphere soil,20002,0,20002,grassland,16,891,4.1,2015,FALSE,3
15544,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.0514,North America,soil,14391,0,14391,tundra,-3.7,757,4.84,2015,FALSE,1
15546,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0506,North America,soil,22985,0,22985,tundra,-3.7,757,4.98,2015,FALSE,2
15551,Farrer_2019_50DE,ITS1F/ITS2,-105.624,40.0572,North America,soil,19110,0,19110,tundra,-2.2,603,4.83,2015,FALSE,21
15557,Farrer_2019_50DE,ITS1F/ITS2,-105.64,40.0528,North America,soil,34750,0,34750,tundra,-3.3,735,5.5,2015,FALSE,2
15563,Farrer_2019_50DE,ITS1F/ITS2,-105.641,40.054,North America,soil,26526,0,26526,tundra,-3.3,735,4.84,2015,FALSE,18
15565,Farrer_2019_50DE,ITS1F/ITS2,-105.631,40.0527,North America,soil,12577,0,12577,tundra,-2.8,672,5.34,2015,FALSE,1
15626,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.053,North America,soil,29466,0,29466,tundra,-3.7,757,NA_,2015,FALSE,1
15627,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0515,North America,soil,35512,0,35512,tundra,-3.7,757,4.51,2015,FALSE,12
15628,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.0522,North America,soil,49149,0,49149,tundra,-3.7,757,4.69,2015,FALSE,167
15629,Farrer_2019_50DE,ITS1F/ITS2,-105.634,40.0519,North America,soil,30718,0,30718,tundra,-3.3,735,4.72,2015,FALSE,5
15630,Franzetti_2020_GF,ITS1F/ITS2,10.5826,46.4058,Europe,soil,16888,0,16888,tundra,-1.3,927,4.61,2015,FALSE,624
15631,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.0509,North America,soil,33342,0,33342,tundra,-3.7,757,4.52,2015,FALSE,4
15633,Toju_2016_ED5F,ITS5/ITS2_KYO2,169.261,-44.433,Australia,root,14374,0,14374,forest,7.1,1164,NA_,2014,FALSE,81
15634,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.0511,North America,soil,27948,0,27948,tundra,-3.7,757,5.15,2015,FALSE,16
15635,Franzetti_2020_GF,ITS1F/ITS2,10.5852,46.4046,Europe,soil,205128,0,205128,tundra,-1.5,960,5.98,2015,FALSE,257
15646,UOBC_2016_5CA6,ITS3/ITS4,-82.85,47.57,North America,soil,0,18218,18218,forest,2.6,806,3.96,2011,FALSE,4
15657,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,25.2887,58.4117,Europe,soil,4125,3378,7503,forest,5.9,707,2.53,2016,FALSE,2
15658,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.2887,58.4117,Europe,soil,4663,3813,8476,forest,5.9,707,NA_,2016,FALSE,2
15661,Zhou_2016_A8F1,gITS7/ITS4,-105.38,39.99,North America,soil,0,47667,47667,forest,5.2,484,5.53,2012,FALSE,1
15695,Liu_2020_M,ITS1F/ITS2,127.461,50.2533,Asia,rhizosphere soil,27536,0,27536,cropland,0.9,527,NA_,2015,FALSE,1
15721,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,24.9953,59.6155,Europe,soil,3884,3140,7024,forest,6,634,4.57,2016,FALSE,28
15723,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.9871,59.6151,Europe,soil,6471,4040,10511,forest,6,633,NA_,2016,FALSE,1
15724,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,27.3777,57.6942,Europe,soil,6132,5600,11732,forest,5.1,653,3.7,2012,FALSE,104
15728,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.9953,59.6155,Europe,soil,200,196,396,forest,6,634,NA_,2016,FALSE,1
15732,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.9953,59.6155,Europe,soil,4313,3463,7776,forest,6,634,NA_,2016,FALSE,28
15733,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,22.4661,58.7202,Europe,soil,1581,1377,2958,forest,6.9,604,NA_,2015,FALSE,4
15740,Polackova_2016_KRTINY,gITS7/ITS4,16.6602,49.2937,Europe,soil,0,12816,12816,forest,9.3,464,5.24,2013,FALSE,2
